Pincode,City,State,STD Code
110001,CENTRAL,DELHI,011
110001,NEW DELHI,DELHI,011
110002,CENTRAL,DELHI,011
110003,NEW DELHI,DELHI,011
110003,SOUTH,DELHI,011
110003,South East,DELHI,011
110004,NEW DELHI,DELHI,011
110005,CENTRAL,DELHI,011
110006,CENTRAL,DELHI,011
110006,NORTH,DELHI,011
110007,CENTRAL,DELHI,011
110007,NORTH,DELHI,011
110007,NORTH WEST,DELHI,011
110008,WEST,DELHI,011
110009,NORTH,DELHI,011
110009,NORTH WEST,DELHI,011
110010,NEW DELHI,DELHI,011
110011,NEW DELHI,DELHI,011
110012,WEST,DELHI,011
110013,SOUTH,DELHI,011
110013,South East,DELHI,011
110014,SOUTH,DELHI,011
110014,South East,DELHI,011
110015,WEST,DELHI,011
110016,SOUTH,DELHI,011
110017,SOUTH,DELHI,011
110018,WEST,DELHI,011
110019,South East,DELHI,011
110020,SOUTH,DELHI,011
110020,South East,DELHI,011
110021,NEW DELHI,DELHI,011
110022,NEW DELHI,DELHI,011
110023,NEW DELHI,DELHI,011
110024,SOUTH,DELHI,011
110024,South East,DELHI,011
110025,SOUTH,DELHI,011
110025,SOUTH,DELHI,011
110025,South East,DELHI,011
110026,WEST,DELHI,011
110027,WEST,DELHI,011
110028,NEW DELHI,DELHI,011
110029,SOUTH,DELHI,011
110030,SOUTH,DELHI,011
110031,EAST,DELHI,011
110031,SHAHDARA,DELHI,011
110032,SHAHDARA,DELHI,011
110033,NORTH,DELHI,011
110034,NORTH WEST,DELHI,011
110035,NORTH WEST,DELHI,011
110036,NORTH,DELHI,011
110037,NEW DELHI,DELHI,011
110038,NEW DELHI,DELHI,011
110039,NORTH,DELHI,011
110039,NORTH WEST,DELHI,011
110040,NORTH,DELHI,011
110040,NORTH WEST,DELHI,011
110041,WEST,DELHI,011
110042,NORTH,DELHI,011
110042,NORTH WEST,DELHI,011
110043,SOUTH WEST,DELHI,011
110043,WEST,DELHI,011
110044,SOUTH,DELHI,011
110044,South East,DELHI,011
110045,SOUTH WEST,DELHI,011
110046,NEW DELHI,DELHI,011
110047,SOUTH,DELHI,011
110048,SOUTH,DELHI,011
110048,South East,DELHI,011
110049,SOUTH,DELHI,011
110049,South East,DELHI,011
110051,EAST,DELHI,011
110051,SHAHDARA,DELHI,011
110052,NORTH,DELHI,011
110052,NORTH WEST,DELHI,011
110053,NORTH EAST,DELHI,011
110054,CENTRAL,DELHI,011
110055,CENTRAL,DELHI,011
110055,WEST,DELHI,011
110056,NORTH WEST,DELHI,011
110057,NEW DELHI,DELHI,011
110058,WEST,DELHI,011
110059,WEST,DELHI,011
110060,CENTRAL,DELHI,011
110061,NEW DELHI,DELHI,011
110061,SOUTH WEST,DELHI,011
110062,SOUTH,DELHI,011
110063,WEST,DELHI,011
110064,WEST,DELHI,011
110065,SOUTH,DELHI,011
110065,South East,DELHI,011
110066,NEW DELHI,DELHI,011
110067,NEW DELHI,DELHI,011
110068,SOUTH,DELHI,011
110069,NEW DELHI,DELHI,011
110070,NEW DELHI,DELHI,011
110071,SOUTH WEST,DELHI,011
110072,SOUTH WEST,DELHI,011
110073,SOUTH WEST,DELHI,011
110074,SOUTH,DELHI,011
110075,SOUTH WEST,DELHI,011
110076,SOUTH,DELHI,011
110077,NEW DELHI,DELHI,011
110077,SOUTH WEST,DELHI,011
110078,SOUTH WEST,DELHI,011
110080,SOUTH,DELHI,011
110081,NORTH WEST,DELHI,011
110082,NORTH,DELHI,011
110083,NORTH WEST,DELHI,011
110084,CENTRAL,DELHI,011
110084,NORTH,DELHI,011
110085,NORTH WEST,DELHI,011
110086,NORTH WEST,DELHI,011
110087,WEST,DELHI,011
110088,NORTH,DELHI,011
110089,NORTH WEST,DELHI,011
110090,NORTH EAST,DELHI,011
110091,EAST,DELHI,011
110092,EAST,DELHI,011
110092,SHAHDARA,DELHI,011
110093,NORTH EAST,DELHI,011
110094,NORTH EAST,DELHI,011
110095,SHAHDARA,DELHI,011
110096,EAST,DELHI,011
110097,SOUTH WEST,DELHI,011
110099,NORTH WEST,DELHI,011
110110,NORTH WEST,DELHI,011
121001,FARIDABAD,HARYANA,0129
121002,FARIDABAD,HARYANA,0129
121003,FARIDABAD,HARYANA,0129
121004,FARIDABAD,HARYANA,0129
121004,PALWAL,HARYANA,01275
121005,FARIDABAD,HARYANA,0129
121006,FARIDABAD,HARYANA,0129
121007,FARIDABAD,HARYANA,0129
121008,FARIDABAD,HARYANA,0129
121009,FARIDABAD,HARYANA,0129
121010,FARIDABAD,HARYANA,0129
121012,FARIDABAD,HARYANA,0129
121013,FARIDABAD,HARYANA,0129
121014,FARIDABAD,HARYANA,0129
121015,FARIDABAD,HARYANA,0129
121101,FARIDABAD,HARYANA,0129
121102,PALWAL,HARYANA,01275
121103,PALWAL,HARYANA,01275
121105,PALWAL,HARYANA,01275
121106,PALWAL,HARYANA,01275
121107,PALWAL,HARYANA,01275
122001,GURUGRAM,HARYANA,0124
122002,GURUGRAM,HARYANA,0124
122003,GURUGRAM,HARYANA,0124
122004,GURUGRAM,HARYANA,0124
122005,GURUGRAM,HARYANA,0124
122006,GURUGRAM,HARYANA,0124
122007,GURUGRAM,HARYANA,0124
122008,GURUGRAM,HARYANA,0124
122009,GURUGRAM,HARYANA,0124
122010,GURUGRAM,HARYANA,0124
122011,GURUGRAM,HARYANA,0124
122012,GURUGRAM,HARYANA,0124
122015,GURUGRAM,HARYANA,0124
122016,GURUGRAM,HARYANA,0124
122017,GURUGRAM,HARYANA,0124
122018,GURUGRAM,HARYANA,0124
122051,GURUGRAM,HARYANA,0124
122052,GURUGRAM,HARYANA,0124
122098,GURUGRAM,HARYANA,0124
122101,GURUGRAM,HARYANA,0124
122102,GURUGRAM,HARYANA,0124
122103,GURUGRAM,HARYANA,0124
122103,NUH,HARYANA,01267
122104,NUH,HARYANA,01267
122105,NUH,HARYANA,01267
122107,NUH,HARYANA,01267
122108,NUH,HARYANA,01267
122413,GURUGRAM,HARYANA,0124
122414,GURUGRAM,HARYANA,0124
122502,GURUGRAM,HARYANA,0124
122502,REWARI,HARYANA,01274
122503,GURUGRAM,HARYANA,0124
122504,GURUGRAM,HARYANA,0124
122505,GURUGRAM,HARYANA,0124
122506,GURUGRAM,HARYANA,0124
122508,NUH,HARYANA,01267
123001,MAHENDRAGARH,HARYANA,01285
123021,MAHENDRAGARH,HARYANA,01285
123023,MAHENDRAGARH,HARYANA,01285
123024,MAHENDRAGARH,HARYANA,01285
123027,MAHENDRAGARH,HARYANA,01285
123028,MAHENDRAGARH,HARYANA,01285
123029,MAHENDRAGARH,HARYANA,01285
123031,MAHENDRAGARH,HARYANA,01285
123034,MAHENDRAGARH,HARYANA,01285
123035,REWARI,HARYANA,01274
123101,REWARI,HARYANA,01274
123102,REWARI,HARYANA,01274
123103,REWARI,HARYANA,01274
123106,REWARI,HARYANA,01274
123110,REWARI,HARYANA,01274
123301,REWARI,HARYANA,01274
123302,REWARI,HARYANA,01274
123303,REWARI,HARYANA,01274
123401,REWARI,HARYANA,01274
123411,REWARI,HARYANA,01274
123412,REWARI,HARYANA,01274
123501,REWARI,HARYANA,01274
124001,ROHTAK,HARYANA,01262
124010,ROHTAK,HARYANA,01262
124021,JHAJJAR,HARYANA,01251
124021,ROHTAK,HARYANA,01262
124022,ROHTAK,HARYANA,01262
124102,JHAJJAR,HARYANA,01251
124103,JHAJJAR,HARYANA,01251
124104,JHAJJAR,HARYANA,01251
124105,JHAJJAR,HARYANA,01251
124106,JHAJJAR,HARYANA,01251
124107,JHAJJAR,HARYANA,01251
124108,JHAJJAR,HARYANA,01251
124109,JHAJJAR,HARYANA,01251
124111,ROHTAK,HARYANA,01262
124112,ROHTAK,HARYANA,01262
124113,ROHTAK,HARYANA,01262
124141,JHAJJAR,HARYANA,01251
124142,JHAJJAR,HARYANA,01251
124146,JHAJJAR,HARYANA,01251
124201,JHAJJAR,HARYANA,01251
124201,ROHTAK,HARYANA,01262
124202,JHAJJAR,HARYANA,01251
124202,ROHTAK,HARYANA,01262
124303,ROHTAK,HARYANA,01262
124401,ROHTAK,HARYANA,01262
124404,JHAJJAR,HARYANA,01251
124404,ROHTAK,HARYANA,01262
124406,ROHTAK,HARYANA,01262
124411,ROHTAK,HARYANA,01262
124412,JHAJJAR,HARYANA,01251
124412,ROHTAK,HARYANA,01262
124501,JHAJJAR,HARYANA,01251
124501,ROHTAK,HARYANA,01262
124504,JHAJJAR,HARYANA,01251
124505,JHAJJAR,HARYANA,01251
124506,JHAJJAR,HARYANA,01251
124507,JHAJJAR,HARYANA,01251
124508,JHAJJAR,HARYANA,01251
124513,ROHTAK,HARYANA,01262
124514,ROHTAK,HARYANA,01262
125001,HISAR,HARYANA,01662
125004,HISAR,HARYANA,01662
125005,HISAR,HARYANA,01662
125006,HISAR,HARYANA,01662
125007,HISAR,HARYANA,01662
125011,HISAR,HARYANA,01662
125033,HISAR,HARYANA,01662
125037,HISAR,HARYANA,01662
125038,HISAR,HARYANA,01662
125039,HISAR,HARYANA,01662
125042,HISAR,HARYANA,01662
125044,HISAR,HARYANA,01662
125047,FATEHABAD,HARYANA,01667
125047,HISAR,HARYANA,01662
125048,FATEHABAD,HARYANA,01667
125049,HISAR,HARYANA,01662
125050,FATEHABAD,HARYANA,01667
125050,HISAR,HARYANA,01662
125051,FATEHABAD,HARYANA,01667
125052,HISAR,HARYANA,01662
125053,FATEHABAD,HARYANA,01667
125054,SIRSA,HARYANA,05334
125055,SIRSA,HARYANA,05334
125056,SIRSA,HARYANA,05334
125058,SIRSA,HARYANA,05334
125060,SIRSA,HARYANA,05334
125075,SIRSA,HARYANA,05334
125076,SIRSA,HARYANA,05334
125077,SIRSA,HARYANA,05334
125078,SIRSA,HARYANA,05334
125101,SIRSA,HARYANA,05334
125102,SIRSA,HARYANA,05334
125103,SIRSA,HARYANA,05334
125104,SIRSA,HARYANA,05334
125106,FATEHABAD,HARYANA,01667
125110,SIRSA,HARYANA,05334
125111,FATEHABAD,HARYANA,01667
125112,FATEHABAD,HARYANA,01667
125112,HISAR,HARYANA,01662
125113,FATEHABAD,HARYANA,01667
125113,HISAR,HARYANA,01662
125120,FATEHABAD,HARYANA,01667
125121,HISAR,HARYANA,01662
125133,FATEHABAD,HARYANA,01667
125201,SIRSA,HARYANA,05334
126101,JIND,HARYANA,01681
126102,JIND,HARYANA,01681
126110,JIND,HARYANA,01681
126111,JIND,HARYANA,01681
126112,JIND,HARYANA,01681
126113,JIND,HARYANA,01681
126114,JIND,HARYANA,01681
126115,JIND,HARYANA,01681
126116,JIND,HARYANA,01681
126125,JIND,HARYANA,01681
126152,JIND,HARYANA,01681
127021,BHIWANI,HARYANA,01664
127022,CHARKI DADRI,HARYANA,01250
127025,CHARKI DADRI,HARYANA,01250
127026,CHARKI DADRI,HARYANA,01250
127027,BHIWANI,HARYANA,01664
127028,BHIWANI,HARYANA,01664
127029,BHIWANI,HARYANA,01664
127030,BHIWANI,HARYANA,01664
127031,BHIWANI,HARYANA,01664
127032,BHIWANI,HARYANA,01664
127035,BHIWANI,HARYANA,01664
127040,BHIWANI,HARYANA,01664
127041,BHIWANI,HARYANA,01664
127042,CHARKI DADRI,HARYANA,01250
127043,BHIWANI,HARYANA,01664
